ticker,announcement_date,fiscal_quarter,estimate_eps,actual_eps,sue,has_consensus,surprise_sign
AMAT,2020-05-14,,0.89,0.89,,False,0.0
AMAT,2020-08-13,,0.95,1.06,,False,1.0
AMAT,2020-11-12,,1.17,1.25,,False,1.0
AMAT,2021-02-18,,1.28,1.39,,False,1.0
AMAT,2021-05-20,,1.51,1.63,0.6544102597790531,True,1.0
AMAT,2021-08-19,,1.78,1.9,0.4762054740795263,True,1.0
AMAT,2021-11-18,,1.96,1.94,-0.05901100165976808,True,-1.0
AMAT,2022-02-16,,1.85,1.89,0.09845614557607,True,1.0
AMAT,2022-05-19,,1.9,1.85,-0.12086286396045408,True,-1.0
AMAT,2022-08-18,,1.78,1.94,0.42071978359682427,True,1.0
AMAT,2022-11-17,,1.74,2.03,0.9750702987030919,True,1.0
AMAT,2023-02-16,,1.92,2.03,0.49053542175871306,True,1.0
AMAT,2023-05-18,,1.83,2.0,1.198661658987746,True,1.0
AMAT,2023-08-17,,1.75,1.9,1.9457794562353514,True,1.0
AMAT,2023-11-16,,1.99,2.12,1.598676200943472,True,1.0
AMAT,2024-02-15,,1.91,2.13,2.500184495037296,True,1.0
AMAT,2024-05-16,,1.99,2.09,1.0990622718847867,True,1.0
AMAT,2024-08-15,,2.03,2.12,0.8777877283695,True,1.0
AMAT,2024-11-14,,2.15,2.09,-0.5400617248673166,True,-1.0
AMAT,2025-02-13,,2.3,2.38,0.648923803817219,True,1.0
AMAT,2025-05-15,,2.31,2.39,0.4588449443530447,True,1.0
AMAT,2025-08-14,,2.36,2.48,0.6260446919011379,True,1.0
AMAT,2025-11-13,,2.09,2.17,0.4594796877032461,True,1.0
AMAT,2026-02-12,,2.15,2.54,2.3490444540515942,True,1.0
AMAT,2026-05-14,,2.68,,,False,
AMD,2020-07-28,,0.17,0.18,,False,1.0
AMD,2020-10-27,,0.36,0.41,,False,1.0
AMD,2021-01-26,,0.48,0.52,,False,1.0
AMD,2021-04-27,,0.44,0.52,,False,1.0
AMD,2021-07-27,,0.54,0.63,0.6536457352823064,True,1.0
AMD,2021-10-26,,0.66,0.73,0.4886628930069778,True,1.0
AMD,2022-02-01,,0.76,0.92,0.958639696761142,True,1.0
AMD,2022-05-03,,0.92,1.13,1.0816916631251903,True,1.0
AMD,2022-08-02,,1.04,1.05,0.04236117549838412,True,1.0
AMD,2022-11-01,,0.7,0.67,-0.12450690143095247,True,-1.0
AMD,2023-01-31,,0.67,0.69,0.09498458745690216,True,1.0
AMD,2023-05-02,,0.56,0.6,0.20707745417307144,True,1.0
AMD,2023-08-01,,0.57,0.58,0.05808353648561138,True,1.0
AMD,2023-10-31,,0.68,0.7,0.11927968090342389,True,1.0
AMD,2024-01-30,,0.77,0.77,0.0,True,0.0
AMD,2024-04-30,,0.61,0.62,0.059962535119668973,True,1.0
AMD,2024-07-30,,0.68,0.69,0.06485931520784569,True,1.0
AMD,2024-10-29,,0.92,0.92,0.0,True,0.0
AMD,2025-02-04,,1.09,1.09,0.0,True,0.0
AMD,2025-05-06,,0.93,0.96,0.1616820300409854,True,1.0
AMD,2025-08-05,,-0.05,0.54,3.2458238772727976,True,1.0
AMD,2025-11-04,,0.68,0.75,0.20333678858958262,True,1.0
AMD,2026-02-03,,1.32,1.53,0.6100103657687482,True,1.0
AMD,2026-05-05,,1.29,1.37,0.19591860048636542,True,1.0
AMD,2026-08-04,,1.61,,,False,
ASML,2020-07-14,,2.06,1.79,,False,-1.0
ASML,2020-10-14,,2.26,2.53,,False,1.0
ASML,2021-01-20,,2.46,3.23,,False,1.0
ASML,2021-04-21,,2.61,3.2,,False,1.0
ASML,2021-07-21,,2.52,2.52,0.0,True,0.0
ASML,2021-10-20,,4.01,4.26,1.1303079559238975,True,1.0
ASML,2022-01-19,,3.76,3.93,0.24515264585531252,True,1.0
ASML,2022-04-20,,1.68,1.73,0.06589903792311907,True,1.0
ASML,2022-07-20,,3.52,3.54,0.02474123878984806,True,1.0
ASML,2022-10-19,,3.46,4.29,1.0174671059763716,True,1.0
ASML,2023-01-25,,4.33,4.6,0.33689331111952453,True,1.0
ASML,2023-04-19,,4.16,4.95,0.8890616354956625,True,1.0
ASML,2023-07-19,,4.61,4.93,0.35499876310286455,True,1.0
